article,unique_words
Mother’s_weight_before_–_not_g.txt,14
Non-invasive_first_trimester_b.txt,16
Can_weekend_sleep_make_up_for_.txt,26
Pasture_feeding_may_improve_nu.txt,30
Does_the_Mediterranean_diet_pr.txt,31
Brain_steroids_make_good_dads:.txt,33
Researchers_assess_bird_flu_vi.txt,34
Minimal_Residual_Disease_Statu.txt,35
Vitamin_D_supplements_may_bene.txt,35
Less-invasive_mastectomy_safe_.txt,36
Staying_alive:_Insufficient_vi.txt,37
"Sun_unleashes_a_wide,_but_beni.txt",38
New_model_for_understanding_my.txt,38
Treatment_of_Helicobacter_pylo.txt,41
Aphthous_ulcers:_Causes_of_muc.txt,43
Chronic_neck_pain_common_among.txt,44
Molecular_glue_controls_chromo.txt,44
Optimal_sleep_linked_to_lower_.txt,45
H__pylori_infection_may_reduce.txt,45
Vitamin_D_deficiency_in_cirrho.txt,45
"Substance_use,_indoor_tanning_.txt",46
Migraines_may_increase_risk_of.txt,47
Warm_season_and_emergency_depa.txt,47
Does_alcohol_consumption_have_.txt,48
New_solar_active_region_spitti.txt,48
NASA's_SDO_observes_largest_su.txt,49
How_electrical_stimulation_reo.txt,49
What_does_trophy_hunting_contr.txt,49
Wildlife_tourism_may_negativel.txt,49
AI_sentencing_tools_need_to_be.txt,50
Links_of_childhood_pain_to_adu.txt,50
Does_physical_activity_impact_.txt,51
Down_syndrome:_Behind_the_scen.txt,51
Acid_suppression_medications_l.txt,51
Eating_mushrooms_may_help_lowe.txt,51
Dog_brains_do_not_prefer_faces.txt,52
Chicken_pox_vaccine_linked_wit.txt,52
Anxiety_and_depression_linked_.txt,52
Exposure_to_smoking_before_and.txt,53
Gaps_in_genetic_knowledge_affe.txt,54
Insights_on_the_effects_of_can.txt,55
Shortened_sleep_may_negatively.txt,55
Researchers_map_mosquitoes_tha.txt,55
"'Legal_highs,'_PMMA_and_zombie.txt",55
Memory_of_last_meal_influences.txt,55
Oral_bacteria_may_help_forensi.txt,55
"Levels_of_total_cholesterol,_L.txt",56
History_of_substance_abuse_pre.txt,56
Japanese_squirrels_can_consume.txt,56
"Combined_use_of_alcohol,_cocai.txt",56
Do_your_stomach_bacteria_prote.txt,56
Sleep-deprived_mice_find_cocai.txt,56
High_prevalence_of_vitamin_D_d.txt,57
Inflammatory_cytokine_levels_m.txt,57
Switching_DNA_and_RNA_on_and_o.txt,57
Study_suggests_no_link_between.txt,57
NASA_sees_sun_send_out_mid-lev.txt,57
High_levels_of_contaminants_in.txt,57
Does_sunscreen_compromise_vita.txt,57
